date,GLD,QQQ,SPY
2005-01-03,-0.01796867071176589,-0.0105769033194818,-0.00472659994409419
2005-01-04,-0.006529827154011958,-0.018396265373003207,-0.012294792158120238
2005-01-05,-0.0016392463570027438,-0.0062075741638740745,-0.006924765688610002
2005-01-06,-0.012261318431121104,-0.0049422065795545755,0.005071497249470092
2005-01-07,-0.007381912140780766,0.005201289798781428,-0.0014341716733765608
2005-01-10,0.0026256369944497315,-5.189920251043034e-4,0.004716908136312092
2005-01-11,0.006178679352221383,-0.007032296099186208,-0.006914670737264039
2005-01-12,0.009197070223628145,0.008329854138006354,0.0032946611686863747
2005-01-13,0,-0.013308233642169043,-0.008044025088452145
2005-01-14,-0.006594418776923128,0.009412515641503916,0.005256939332163313
2005-01-18,0,0.0075172493576132204,0.010348970537216395
2005-01-19,-0.00141882268821103,-0.016666273368647566,-0.010517900933344926
2005-01-20,-2.3661105865002696e-4,-0.01935671712721243,-0.0061091235687520395
2005-01-21,0.011530942882389539,-0.008064801551957324,-0.006146674480193681
2005-01-24,7.016255532450444e-4,-0.014134391641159372,-0.0019715174088581477
2005-01-25,-0.012469235492327702,0.004915620019522837,0.0028273513100636194
2005-01-26,0.010596990598691125,0.011914030012168286,0.002990470206506224
2005-01-27,-0.0016410741378725113,-0.0013464787804875478,0.0017041239614856707
2005-01-28,0.0016410741378725113,-0.004864034693527586,0
2005-01-31,-0.011070611239549333,0.012917528757868002,0.006197539751683578
2005-02-01,-0.0028463729232348634,0.0032033125158781317,0.006327165988811778
2005-02-02,0.0014242110507103334,0.0015983249459874393,0.003023140618942044
2005-02-03,-0.011450506787995529,-0.01150865274571844,-0.0026026182151017707
2005-02-04,-0.005051099073004384,0.01602206630391123,0.010619038547224235
2005-02-07,-0.004834454607616223,-0.0021218397136033573,-0.001331321403516661
2005-02-08,-2.4238459448344685e-4,0.0018574142378962044,0.0011650100481510606
2005-02-09,0.0012111664458793747,-0.016834648485938075,-0.007514904338745687
2005-02-10,0.010594825680978026,0.001077007657733997,0.0035977641511300007
2005-02-11,0.007873164661105658,0.01469676466999248,0.00856517672277235
2005-02-14,0.011107215559650108,0.004498752999714917,-7.456729142649721e-4
2005-02-15,7.04874918120435e-4,0.006580123435463214,0.0037218163229972845
2005-02-16,-0.0014101529619936493,-0.003679406752665315,6.605131692296595e-4
2005-02-17,0.00492669618218633,-0.013519338305715944,-0.008118381757753035
2005-02-18,4.6794572683550584e-4,-0.003207352885363779,0.0013302260462246807
2005-02-22,0.01899964474658189,-0.012392394406910423,-0.014980205671569102
2005-02-23,-0.0034487217409289173,0.0013542905748247236,0.007141190858377833
2005-02-24,-0.002074836479208475,0.012642885897414136,0.006592349367369188
2005-02-25,0.003915656185424776,0.0055980218090909695,0.009848042957030678
2005-02-28,6.893944969048604e-4,-0.010689773848210127,-0.006609648428483439
2005-03-01,-0.007146958375367163,0.01095596875610294,0.004961201189566111
2005-03-02,6.938591617124956e-4,-5.32012426210926e-4,-4.948007786254038e-4
2005-03-03,-0.006495012318934901,-0.008276400370684112,4.1208734290076876e-4
2005-03-04,0.00949630739187235,0.005880198652888247,0.012380206609709177
2005-03-07,0.002072539554245356,0.014290563060860517,4.886756585280594e-4
2005-03-08,0.0128001290508033,-0.01003503135878514,-0.0037534468313724645
2005-03-09,-2.271209575588351e-4,-0.002923277294706761,-0.011179509761745088
2005-03-10,0.004080735609770958,-0.001332254407368616,0.002229241742732313
2005-03-11,0.005190105239730514,-0.009371850421226569,-0.007035384254418631
2005-03-14,-0.009043719891942636,0.0045629652563792256,0.006210252535779226
2005-03-15,6.811670146453785e-4,-0.0080664872542342,-0.008288826044980269
2005-03-16,0.005658043709146909,-0.011403882414165789,-0.0085266983789829
2005-03-17,-0.01112007361234646,0.002454897021348046,0.0020127644580369974
2005-03-18,0.001596146748588545,-0.0054632877359024334,-0.0029736378842564193
2005-03-21,-0.018395529288162127,0.0019158795547924434,-0.0037184543770507617
2005-03-22,-0.010263630796742085,-0.012378466030491087,-0.010212985270766417
2005-03-23,-0.005407418842041434,0.0035918542748136773,8.549903864603081e-4
2005-03-24,-7.074402148874448e-4,2.7571278328686333e-4,0.0011959817079461033
2005-03-28,0.0035323715053019455,0.0019282969266756211,0.0014500152578920122
2005-03-29,4.70035250251577e-4,-0.008012699136113355,-0.0066710257651969584
2005-03-30,0.0011741224508603487,0.01868739398389163,0.014059881498015514
2005-03-31,0.004916292181047055,-0.004366052613488769,-0.001863201819430671
2005-04-01,-0.004681679954228635,-0.01016874426190384,-0.0045032711775592205
2005-04-04,-0.005175193799586086,0.007156572754850821,0.001702241944005145
2005-04-05,0.0011785269067599025,0.0027388437061994786,0.004748998261636217
2005-04-06,0.004231317920295741,-0.001642738476105965,0.0034630204679846344
2005-04-07,-0.0014084743947169187,0.01198290361100307,0.005381779203645465
2005-04-08,0.0028148975051198732,-0.008154803455603599,-0.010453616640570651
2005-04-11,0.0021060029336692487,-0.004376218261326947,7.626971094660817e-4
2005-04-12,0.0014015653006982376,0.004922434120143926,0.0051520481373756866
2005-04-13,0.001399626974468493,-0.01650192949669549,-0.011864694270376397
2005-04-14,-0.013848384186966545,-0.014244444471776863,-0.013129059659707565
2005-04-15,0.0021249210406719676,-0.023048115149250314,-0.014092243008485994
2005-04-18,0.006816267937458598,2.875804505095836e-4,0.0030613984351548496
2005-04-19,0.013725934087684522,0.006882632538932398,0.007916268149492645
2005-04-20,0.002768875756442135,-0.008322010344525843,-0.01404846596759235
2005-04-21,-0.004850523370205639,0.026167225917698822,0.01923392090268905
