date,adjusted,return,realized_vol,vix
2014-04-16,169.31368999999998,0.010423230174807507,0.11494816206134588,14.18
2014-04-17,169.550186,0.001395817348186057,0.11495801679528385,13.36
2014-04-21,170.141434,0.003481090272767773,0.1138248873913524,13.25
2014-04-22,170.914658,0.004534300034037209,0.11348904686411775,13.19
2014-04-23,170.514404,-0.0023445818057039602,0.1136400414333507,13.27
2014-04-24,170.860107,0.0020253598733104283,0.11302033269831385,13.32
2014-04-25,169.45921299999998,-0.008232867371265051,0.11500618283248838,14.06
2014-04-28,169.995926,0.0031622054615016992,0.11521865423695292,13.97
2014-04-29,170.787308,0.004644497402698455,0.1150745405097666,13.71
2014-04-30,171.296707,0.0029782121010235585,0.11513238981625698,13.41
2014-05-01,171.31491100000002,0.00010626609875963311,0.11362269326788994,13.25
2014-05-02,171.069305,-0.0014346808681615641,0.10858807872206015,12.91
2014-05-05,171.396774,0.0019124177247666907,0.10865822258122936,13.29
2014-05-06,169.904984,-0.008741821365797264,0.11068897652617199,13.8
2014-05-07,170.905563,0.005871777640787279,0.11163958053947902,13.4
2014-05-08,170.723648,-0.0010649851437554148,0.11166449965739629,13.43
2014-05-09,170.97833300000002,0.0014906852246916458,0.11100524767752748,12.92
2014-05-12,172.64300500000002,0.009689066649218425,0.1134146022748094,12.23
2014-05-13,172.797668,0.0008954533870690895,0.10955107791381972,12.13
2014-05-14,171.978973,-0.004749141568209048,0.11003572759341028,12.17
2014-05-15,170.468948,-0.008819062370334585,0.11039488940726476,13.17
2014-05-16,171.060226,0.0034625363556415323,0.10935572052277401,12.44
2014-05-19,171.68786599999999,0.0036624023077242995,0.10879663658626722,12.42
2014-05-20,170.605392,-0.006324854979096628,0.10912223608426252,12.96
2014-05-21,172.042618,0.008388984536809474,0.11051359863350069,11.91
2014-05-22,172.46108999999998,0.0024294206193058443,0.11003459784087931,12.03
2014-05-23,173.152451,0.004000780294509454,0.10987675424204939,11.36
2014-05-27,174.21670500000002,0.006127529238236562,0.10896593487578987,11.51
2014-05-28,174.089371,-0.000731161552707249,0.1087894897782378,11.68
2014-05-29,174.98992900000002,0.005159629905701735,0.10884645625506939,11.57
2014-05-30,175.271881,0.0016099503448590013,0.10732036786152216,11.4
2014-06-02,175.472046,0.001141374126943262,0.1063045944643798,11.58
2014-06-03,175.381058,-0.0005186672199988251,0.10610887064705857,11.87
2014-06-04,175.73584,0.002020877506969221,0.10607385533981724,12.08
2014-06-05,176.882004,0.006500907745195406,0.1022937121886913,11.68
2014-06-06,177.72796599999998,0.004771234180679151,0.09803771923888062,10.73
2014-06-09,177.909943,0.001023383679170209,0.09780087041855115,11.15
2014-06-10,177.928085,0.0001019677414335618,0.09495549189901184,10.99
2014-06-11,177.30950900000002,-0.003482607897646872,0.07774199688957131,11.6
2014-06-12,176.05423000000002,-0.00710477132631393,0.07625464586851144,12.56
2014-06-13,176.590912,0.0030437533396545646,0.07469982129969648,12.18
2014-06-16,176.73641999999998,0.0008236442247611109,0.07344566990067629,12.65
2014-06-17,177.227646,0.002775571661326026,0.06989038380734704,12.06
2014-06-18,178.52844199999998,0.007312885659032986,0.07153425727616583,10.61
2014-06-19,178.728561,0.001120308457218222,0.0713107293714842,10.62
2014-06-20,179.091171,0.0020267754497558244,0.07084713391017484,10.85
2014-06-23,179.036316,-0.00030634342473057075,0.07041037475720495,10.98
2014-06-24,177.95777900000002,-0.0060423424171096585,0.07254269295458916,12.13
2014-06-25,178.76216100000002,0.004509887299070314,0.06924804945929015,11.59
2014-06-26,178.634155,-0.0007163252654986962,0.0692492067651707,11.63
2014-06-27,178.981506,0.0019425945064099892,0.06873274359048072,11.26
2014-06-30,178.89009099999998,-0.00051088157179624,0.06868299021630335,11.57
2014-07-01,180.087402,0.0066706992120435515,0.07000816926824369,11.15
2014-07-02,180.270218,0.0010146366028491727,0.0697003767150356,10.82
2014-07-03,181.15683,0.004906183880530435,0.07025947786043696,10.32
2014-07-07,180.52616899999998,-0.003487372317229287,0.06672505565712966,11.33
2014-07-08,179.365341,-0.006451010893279374,0.0685023906227169,11.98
2014-07-09,180.169693,0.004474408699482346,0.06874472748793778,11.65
2014-07-10,179.456741,-0.003964964010530814,0.06993168938222359,12.59
2014-07-11,179.703598,0.001374634179038381,0.0665785784734074,12.08
2014-07-14,180.608429,0.005022496249145192,0.06731949040476824,11.82
2014-07-15,180.270218,-0.001874375787156879,0.066154920398762,11.96
2014-07-16,180.937454,0.00369447722546834,0.06153832740887482,11.0
2014-07-17,178.880951,-0.011430907170008275,0.0688746935280987,14.54
2014-07-18,180.708939,0.010167158741511528,0.07214799474537888,12.06
2014-07-21,180.370758,-0.0018731659613795415,0.07008137688037631,12.81
2014-07-22,181.15683,0.004348621044938383,0.0682533050975812,12.24
2014-07-23,181.55899,0.002217494482564142,0.06823236803527172,11.52
2014-07-24,181.5681,5.017527060235949e-05,0.06792974739745661,11.84
2014-07-25,180.718124,-0.004692298537633199,0.06820676286717173,12.69
2014-07-28,180.79122900000002,0.0004044432067376036,0.06809930776131198,12.56
2014-07-29,180.014328,-0.004306486890882866,0.06840629225189053,13.28
2014-07-30,180.04174799999998,0.00015230960886736256,0.06837688553542921,13.33
2014-07-31,176.486221,-0.019945951993946665,0.08493115749768848,16.950001
2014-08-01,175.946991,-0.003060043165131532,0.08527920649495262,17.030001000000002
2014-08-04,177.217468,0.007194849018516969,0.08692994928429014,15.12
2014-08-05,175.499084,-0.009743787671524728,0.08878007835628214,16.870001000000002
2014-08-06,175.553925,0.00031243714789574994,0.08791717878835334,16.370001000000002
2014-08-07,174.603363,-0.005429356278582986,0.08874027529479322,16.66
2014-08-08,176.623322,0.011502436217313061,0.09344275998958407,15.77
